algo,sim,rmse,mae
user_knn,cosine,0.9933857985147284,0.7672418232206684
item_knn,cosine,0.9945912826252794,0.7740562315472761
user_knn,msd,0.9683568289090478,0.7445850221163255
item_knn,msd,0.9352327444150758,0.721443293457147
user_knn,pearson,0.9979729812327994,0.7722218237112554
item_knn,pearson,0.9900158132184623,0.7688167396800122
